ticker,months,median_cap
CMG,149,296761675.2233505
DECK,120,438807098.97756577
SMCI,115,136838299.91912842
FOSL,109,290118767.7526474
MBI,106,529390307.8022127
IBKR,104,435122240.9445119
GME,102,639867995.7389832
COP,100,71848270.07052612
NVDA,85,224032502.63428688
COL,83,33200000.0
ENPH,83,260731463.26828003
CPRT,77,525989688.6539459
CSGP,77,527971791.5725708
TECH,72,782460629.4956207
NFLX,71,159276415.77529907
BRK.B,66,188299729.52975082
NBR,66,584573748.0983734
APH,60,602003677.1688341
ROL,56,4386684.628828049
FIX,47,544967875.6599426
BLDR,47,579462001.8482208
CNC,46,521912523.9902544
ORLY,45,720307989.8643494
LRCX,42,631778442.8429604
ANET,41,332885619.699955
GRMN,41,9707338.0
DXCM,41,290509988.0695343
KLAC,41,820305736.60326
FTNT,40,751537326.9073963
AXON,40,469981188.90479326
MNST,40,710748403.1527042
TSCO,38,379263811.52415276
TTD,33,270299545.00579834
MCD,31,213127.20703125
L,30,15853.950601310731
WST,29,786804977.4169922
ODFL,29,466674553.31837654
ANF,28,829237718.6570168
CVNA,26,244622782.62376785
MPWR,26,830786.406949997
OKE,24,3715118.661670685
UAA,24,468271238.75904083
HSY,24,11915545.507339478
ECHO,23,6872203.688781738
TSLA,23,227409524.96171927
COO,21,871252807.6286316
ALK,21,583242013.1607056
PANW,18,626365782.664299
LUV,17,6783.939909934998
CLF,17,608331044.3840027
EPAM,16,743996470.0
FAST,16,826400120.7202072
HBAN,15,4962860.577963352
CSX,15,1887425.6578917503
CRWD,15,0.0
CPAY,14,3040834.5029296875
AAP,14,5363857.37644577
NOW,14,624823566.192061
A,13,8194.162685394287
DLTR,13,4889.553944015503
SIG,13,829268047.3327637
ACGL,12,512406940.3364196
RIG,12,207977885.0376606
ICE,12,17.975000381469727
KO,12,204506.42401695251
TLAB,12,797799006.8078041
CF,11,823312763.2141113
PODD,11,880440200.2247009
MCHP,10,3369739.6945495605
TTWO,10,853367606.1663628
BKNG,10,837327843.506813
DLR,9,34510012.38239288
GPC,9,11939538.886413574
T,9,127887.6395702362
EOG,9,13968175.752365112
ETSY,8,907137767.5206292
WDAY,8,0.0
PCAR,8,16104.709400558471
VTRS,8,1624.4999885559082
DOV,8,7426127.092119217
NAVI,8,845985018.2533264
AMCR,8,678002.1450405121
UHS,7,4399327.740211487
XRAY,7,5050891.956115723
CHD,7,19891.560150146484
BALL,7,3423901.516025543
SPG,7,1193302.001953125
CNP,7,6681.000113487244
RRC,7,865806182.3658943
MKTX,7,1183478.4228515625
OXY,6,-66947632522.4011
DDOG,6,0.0
CLX,6,9117870.800384521
PSKY,6,13799.999713897705
TXN,6,39034.51109313965
KHC,6,0.0
HSIC,6,2121645.657371521
INCY,6,16522995.870513916
SVU,6,633650007.2479248
MOH,5,717512220.4999924
NKTR,5,801060491.3918762
SW,5,4741.999816894531
POOL,5,1223095.7978973389
FTI,4,24.114583015441895
WYNN,4,13515245.422599792
TYL,4,859231487.7471924
CTAS,4,977618077.1436088
WHR,4,4358.4
VNT,4,32799.99923706055
RMD,3,4878215.320251465
FCX,3,20194.734855651855
ATO,3,3082912.66204834
BRO,3,2569371.079305649
GT,3,3772.559989929199
EXE,3,432080402.98461914
COR,3,21482410.907073975
LUMN,3,12310086.062919617
NYT,3,945786961.4233971
DOC,3,10423565.012130737
FDS,3,10140890.161621094
TER,3,15845588.899230957
MAC,3,963185961.90691
JBL,3,5255498.767604828
BXP,3,12070617.086082458
PHM,3,2848891.8327741623
AXP,3,98824.89282989502
DGX,3,9620703.25
WELL,3,23434019.36782837
KMX,3,6473114.720550537
WRB,3,0.0
TRIP,3,32229.999542236328
VICI,2,20774.999618530273
TPL,2,938654727.402214
UDR,2,9320430.732440948
FANG,2,981992431.6546211
NEE,2,5659.6279922485355
LH,2,6332.178759765625
ISRG,2,963989275.3944397
R,2,501446927.4282532
FICO,1,878461026.9298553
FLR,1,968526308.6128235
ATI,1,946900992.3386459
QRVO,1,73870.00274658203
TXT,1,7551.422831726074
